도서명,저자,발행처,발행년도,자료유형,소장처,등록일
Baca buku Ini saat engkau gagal :sesungguhnya berpura-pura sukses itu melelahkan,[by] Kinanti Linda R,Psikologi Corner,2022,단행본,서울도서관,20251203
뜨뜨뜨뜨 뜩구 :이혜란 그림책 [점자라벨자료],이혜란 글·그림,곰곰,2024,단행본,서울도서관,20251203
(된다! 하루 만에 끝내는) 챗GPT 활용법 :인공지능에게 일 시키고 시간 버는 법: 최신 버전 GPT-4.1 반영! =Gotcha! how to use ChatGPT that ends in a day,프롬프트 크리에이터 지음,이지스퍼블리싱,2025,단행본,서울도서관,20251203
"코틀린 아카데미 .[2] ,이펙티브 코틀린 =Kt. academy",마르친 모스카와 지음,인사이트,2025,단행본,서울도서관,20251203
생성형 AI 활용 백과사전,타구치 카즈히로,길벗,2025,단행본,서울도서관,20251203
"(디자인 경험을 바꾸는) UI/UX 디자인 with AI :사용자 리서치부터 시나리오 보드, GUI 디자인까지 생성형 AI와 UX/UI 자동화의 모든 것 : 누구나 프로처럼, 생활 AI",유훈식 지음,한빛미디어,2025,단행본,서울도서관,20251203
"(프론트엔드 개발자를 위한) 인터랙티브 웹 애니메이션 :HTML, CSS, JavaScript 기본기부터 React, Three.js를 활용한 3D 애니메이션까지",김영민 저,Youngjin.com(영진닷컴),2025,단행본,서울도서관,20251203
인프라 엔지니어의 교과서 :IT 인프라 세계의 첫 길잡이 =The textbook of the infrastructure engineer,사노 유타카 지음,길벗,2025,단행본,서울도서관,20251203
"모두의 인공지능 with 파이썬 :누구나 쉽게 시작하는 딥러닝 기초 프로그래밍 =Artificial intelligence for everyone, Python version",이영호 지음,길벗,2025,단행본,서울도서관,20251203
아키텍트 첫걸음 :아키텍처 설계 기본 원칙부터 실무 적용까지,요네쿠보 다케시 지음,한빛미디어,2025,단행본,서울도서관,20251203
Dorico Pro 6 :악보 사보부터 → 디자인 → PDF 출력까지,최이진 지음,노하우,2025,단행본,서울도서관,20251203
노션 템플릿 상점 :노션 앰배서더 Rei가 만들고 노슈니가 먼저 써본 템플릿과 활용법 모두 모음집 =Notion template store,Rei 지음,길벗,2025,단행본,서울도서관,20251203
AWS 보안 :위협 시나리오로 배우는 클라우드 보안 실무 가이드,딜런 쉴즈 지음,에이콘: 에이콘출판,2025,단행본,서울도서관,20251203
"당신의 출근은 안녕하신가요? :오늘도, 내일을 만들어가는 사람들의 이야기",이해원,정한책방,2025,단행본,서울도서관,20251203
개야소야도 :문성배 장편소설,문성배 지음,Voiceprint(보이스프린트),2025,단행본,서울도서관,20251203
서울대 엄마들의 비밀 입시 토크 :대치동에서도 절대 알려 주지 않는 대한민국 최상위 입시 절대 공식,입시 읽어 주는 엄마 지음,카시오페아,2025,단행본,서울도서관,20251203
최고의 선물,파울로 코엘료 지음,북다: 교보문고,2025,단행본,서울도서관,20251203
장우석의 미국주식 투자법 :대한민국 No.1 미국주식 멘토' 미주미',장우석,베가북스,2025,단행본,서울도서관,20251203
아인슈타인 :시공간을 재편한 현대물리학의 초석,이강영 지음,arte(아르테): 북이십일,2025,단행본,서울도서관,20251203
"Go go 카카오프렌즈 :역사 문화: 세계 역사 문화 체험 학습만화 .38 ,노르웨이(Norway)",김미영 글,아울북×Kakao Friends: 북이십일 아울북,2025,단행본,서울도서관,20251203
기이한 실재론 :러브크래프트와 철학,그레이엄 하먼 지음,필로소픽,2025,단행본,서울도서관,20251203
"프셉마음 :신규 간호사를 위한 진짜 실무 팁 .[33] ,신경외과편",박지영 저,드림널스,2025,단행본,서울도서관,20251203
"대림절, 소망하며 기다리다",티시 해리슨 워런 지음,IVP(한국기독학생회출판부),2025,단행본,서울도서관,20251203
퇴사 대신 노조 만들기,송영수,회화나무,2025,단행본,서울도서관,20251203
세계사를 바꾼 50가지 배 이야기,이언 그레이엄 지음,산처럼,2025,단행본,서울도서관,20251203
잠든 나의 얼굴을 :인수지 장편소설,임수지 지음,은행나무,2025,단행본,서울도서관,20251203
"거대한 음모 .제1권 ,불사조의 귀환",제이슨 호,북앤피플,2025,단행본,서울도서관,20251203
(내 마음을 치유하는) 테라리움 교과서,임순옥,레시픽,2025,단행본,서울도서관,20251203
(국가정책 전문가의 시각에서 본) AI 코리아,구윤철 지음,바다위의정원,2025,단행본,서울도서관,20251203
두근두근 지구의 심장 [점자라벨자료] =What makes the heart of the Earth beat,김둘 글,빨강머리앤,2024,단행본,서울도서관,20251203
나저씨의 이혼일기,나저씨 지음,꿈공장플러스,2025,단행본,서울도서관,20251203
애도하는 음악 :음악이 역사를 기억하는 방법,제레미 아이클러 지음,뮤진트리,2025,단행본,서울도서관,20251203
좋은 매너에 관하여 :인생을 빛내는 작고 우아한 태도들,권은순 지음,Bookers(북커스),2025,단행본,서울도서관,20251203
(흔한남매) 수수께끼 어드벤처 .6,흔한남매 원작,Mirae N 아이세움 : 아이세움,2025,단행본,서울도서관,20251203
